RowID, Date, TimeStamp, AccX, AccY, Accz, Comment
0, Sun Dec 18 19:31:17 GMT+01:00 2016, 1.034644E15, -0.79487497, 0.93852705, 9.184157, null
0, Sun Dec 18 19:31:17 GMT+01:00 2016, 1.0346442E15, -0.7086837, 1.0821792, 9.11712, null
0, Sun Dec 18 19:31:17 GMT+01:00 2016, 1.0346444E15, -0.6991069, 1.0342951, 9.232041, null
0, Sun Dec 18 19:31:17 GMT+01:00 2016, 1.0346446E15, -0.7661445, 0.93852705, 9.107543, null
0, Sun Dec 18 19:31:17 GMT+01:00 2016, 1.0346448E15, -0.51714754, 0.90979666, 9.3182335, null
0, Sun Dec 18 19:31:18 GMT+01:00 2016, 1.034645E15, -0.6512229, 0.91937345, 9.193734, null
0, Sun Dec 18 19:31:18 GMT+01:00 2016, 1.0346452E15, -0.2681506, 0.5746084, 9.414001, null
0, Sun Dec 18 19:31:18 GMT+01:00 2016, 1.0346454E15, -0.45968673, 0.60333884, 9.337387, null
0, Sun Dec 18 19:31:18 GMT+01:00 2016, 1.0346456E15, -0.33518824, 0.7469909, 9.337387, null
0, Sun Dec 18 19:31:18 GMT+01:00 2016, 1.0346458E15, -0.2777274, 0.60333884, 9.385271, null
0, Sun Dec 18 19:31:19 GMT+01:00 2016, 1.03464594E15, -0.18195933, 0.47884035, 9.433155, null
0, Sun Dec 18 19:31:19 GMT+01:00 2016, 1.03464615E15, -0.38307226, 0.61291564, 9.232041, null
0, Sun Dec 18 19:31:19 GMT+01:00 2016, 1.03464635E15, -0.11492168, 0.33518824, 9.394848, null
0, Sun Dec 18 19:31:19 GMT+01:00 2016, 1.03464655E15, 0.22026655, -0.11492168, 9.864111, null
0, Sun Dec 18 19:31:19 GMT+01:00 2016, 1.03464675E15, 0.009576807, 0.39264908, 9.528923, null
0, Sun Dec 18 19:31:20 GMT+01:00 2016, 1.03464695E15, -0.047884032, 0.21068975, 9.375694, null
0, Sun Dec 18 19:31:20 GMT+01:00 2016, 1.03464715E15, -0.2873042, 0.2873042, 9.404425, null
0, Sun Dec 18 19:31:20 GMT+01:00 2016, 1.03464735E15, -0.40222588, 0.41180268, 9.308656, null
0, Sun Dec 18 19:31:20 GMT+01:00 2016, 1.03464756E15, 0.1340753, 0.19153613, 9.605537, null
0, Sun Dec 18 19:31:20 GMT+01:00 2016, 1.03464776E15, 0.019153614, 0.05746084, 9.423578, null
0, Sun Dec 18 19:31:21 GMT+01:00 2016, 1.03464796E15, 0.36391866, -0.047884032, 9.720459, null
0, Sun Dec 18 19:31:21 GMT+01:00 2016, 1.03464816E15, -0.17238252, 0.36391866, 9.375694, null
0, Sun Dec 18 19:31:21 GMT+01:00 2016, 1.03464836E15, -0.12449849, 0.17238252, 9.3661175, null
0, Sun Dec 18 19:31:21 GMT+01:00 2016, 1.03464856E15, 0.22984336, -0.05746084, 9.490616, null
0, Sun Dec 18 19:31:21 GMT+01:00 2016, 1.03464876E15, -0.08619126, 0.29688102, 9.385271, null
0, Sun Dec 18 19:31:22 GMT+01:00 2016, 1.03464896E15, 0.02873042, 0.05746084, 9.548077, null
0, Sun Dec 18 19:31:22 GMT+01:00 2016, 1.0346491E15, -0.06703765, 0.22984336, 9.423578, null
0, Sun Dec 18 19:31:22 GMT+01:00 2016, 1.0346493E15, -0.11492168, 0.23942018, 9.32781, null
0, Sun Dec 18 19:31:22 GMT+01:00 2016, 1.0346495E15, 0.019153614, 0.12449849, 9.528923, null
0, Sun Dec 18 19:31:22 GMT+01:00 2016, 1.0346497E15, -0.05746084, 0.11492168, 9.414001, null
0, Sun Dec 18 19:31:23 GMT+01:00 2016, 1.0346499E15, -0.02873042, 0.15322891, 9.452309, null
0, Sun Dec 18 19:31:23 GMT+01:00 2016, 1.0346501E15, 0.038307227, 0.21068975, 9.346964, null
0, Sun Dec 18 19:31:23 GMT+01:00 2016, 1.0346503E15, 0.16280572, 0.18195933, 9.481039, null
0, Sun Dec 18 19:31:23 GMT+01:00 2016, 1.0346505E15, 0.10534488, 0.02873042, 9.461885, null
0, Sun Dec 18 19:31:23 GMT+01:00 2016, 1.0346507E15, -0.095768064, 0.29688102, 9.375694, null
0, Sun Dec 18 19:31:24 GMT+01:00 2016, 1.0346509E15, 0.019153614, 0.46926352, 9.442732, null
0, Sun Dec 18 19:31:24 GMT+01:00 2016, 1.0346511E15, 0.05746084, -0.076614454, 9.3182335, null
0, Sun Dec 18 19:31:24 GMT+01:00 2016, 1.0346513E15, 1.3215994, -0.7565677, 9.595961, null
